Learning Rate	Train Loss	Test Loss	TrainLoss Interior	TrainLoss Bndry	Trainloss Init	Trainloss Shock	
0.01000000	1.93078391	0.00025479	0.00020772	0.00014587	0.00139638	0.00002766	
0.01000000	2.02478657	0.00017951	0.00020863	0.00017141	0.00142949	0.00003296	
0.01000000	1.72104624	0.00019896	0.00020854	0.00012638	0.00133155	0.00002084	
0.01000000	1.86667255	0.00018419	0.00020148	0.00012694	0.00142202	0.00003060	
0.01000000	1.92266866	0.00020536	0.00020476	0.00013407	0.00137964	0.00002617	
0.01000000	1.63721060	0.00016308	0.00020637	0.00012677	0.00123456	0.00002276	
0.01000000	1.77229821	0.00021619	0.00020208	0.00010461	0.00130135	0.00002475	
0.01000000	1.81651587	0.00018663	0.00020461	0.00017742	0.00134306	0.00003969	
0.01000000	2.23376106	0.00073615	0.00020019	0.00049498	0.00157064	0.00019467	
0.01000000	3.69852971	0.00132199	0.00021381	0.00284970	0.00242881	0.00098810	
0.01000000	4.96083532	0.00034062	0.00021769	0.00259497	0.00230054	0.00090367	
0.01000000	2.71789852	0.00029679	0.00021204	0.00105286	0.00163110	0.00030902	
0.01000000	2.37603372	0.00026981	0.00020775	0.00062314	0.00149812	0.00016791	
0.01000000	2.04721365	0.00020710	0.00019943	0.00044989	0.00143519	0.00009205	
0.01000000	1.93153777	0.00022221	0.00019884	0.00041919	0.00145175	0.00005006	
0.01000000	1.81739134	0.00022699	0.00019837	0.00033107	0.00129964	0.00003083	
0.01000000	1.74947169	0.00029906	0.00020484	0.00028985	0.00131584	0.00003724	
0.01000000	1.74010397	0.00021835	0.00020821	0.00028275	0.00134881	0.00002601	
0.01000000	1.91545306	0.00024117	0.00019099	0.00028579	0.00137648	0.00002519	
0.01000000	1.82647117	0.00020191	0.00018989	0.00022194	0.00136438	0.00001871	
0.01000000	1.75056337	0.00021053	0.00018780	0.00020096	0.00128414	0.00002376	
0.01000000	1.85833375	0.00017546	0.00018429	0.00018060	0.00125790	0.00002077	
0.01000000	1.66346106	0.00018440	0.00018659	0.00014830	0.00124175	0.00001931	
0.01000000	1.74234678	0.00016571	0.00018760	0.00014505	0.00125618	0.00001703	
0.01000000	1.61159804	0.00015706	0.00018442	0.00013225	0.00125590	0.00002082	
0.01000000	1.61927526	0.00016653	0.00019115	0.00013553	0.00117045	0.00001864	
0.01000000	1.58866573	0.00018216	0.00018729	0.00010622	0.00118536	0.00001773	
0.01000000	1.64863019	0.00018254	0.00018890	0.00010601	0.00119349	0.00002161	
0.01000000	1.58476499	0.00025861	0.00018471	0.00013851	0.00119070	0.00002456	
0.01000000	1.68003812	0.00013599	0.00018231	0.00018353	0.00112797	0.00005347	
0.01000000	1.63202950	0.00017509	0.00018305	0.00011330	0.00118737	0.00003933	
0.01000000	1.66463147	0.00015453	0.00018432	0.00013167	0.00118433	0.00002127	
0.01000000	1.74184928	0.00015785	0.00017983	0.00011544	0.00129504	0.00003470	
0.01000000	1.55403245	0.00015257	0.00018406	0.00011642	0.00116350	0.00001669	
0.01000000	1.63561473	0.00015925	0.00018037	0.00008320	0.00116302	0.00001701	
0.01000000	1.62812366	0.00014146	0.00018146	0.00007933	0.00119721	0.00001693	
0.01000000	1.57215627	0.00017830	0.00018172	0.00007442	0.00113764	0.00001877	
0.01000000	1.69166855	0.00016796	0.00017468	0.00019000	0.00119944	0.00004928	
0.01000000	1.92863409	0.00041929	0.00018158	0.00043720	0.00135967	0.00015206	
0.01000000	1.97444453	0.00018903	0.00018526	0.00057439	0.00127645	0.00018877	
0.01000000	1.78232378	0.00016077	0.00017597	0.00022504	0.00114675	0.00007658	
0.01000000	1.63275001	0.00027019	0.00017460	0.00012501	0.00122467	0.00002173	
0.01000000	1.80080568	0.00015239	0.00017629	0.00033404	0.00127286	0.00009265	
0.01000000	1.70127900	0.00021231	0.00017476	0.00018335	0.00123329	0.00006582	
0.01000000	1.50823668	0.00021434	0.00017876	0.00011817	0.00109840	0.00003682	
0.01000000	1.70085590	0.00023554	0.00017974	0.00045246	0.00122203	0.00013979	
0.01000000	1.87586075	0.00021001	0.00017796	0.00050593	0.00126058	0.00016567	
0.01000000	1.54387073	0.00030409	0.00017406	0.00020003	0.00114116	0.00002791	
0.01000000	1.69144336	0.00016936	0.00017633	0.00032751	0.00115999	0.00009497	
0.01000000	1.62417101	0.00019480	0.00016990	0.00025440	0.00118698	0.00006679	
0.01000000	1.44545523	0.00015320	0.00016801	0.00012086	0.00109101	0.00001963	
0.01000000	1.42335053	0.00014899	0.00016726	0.00011537	0.00104510	0.00002061	
0.01000000	1.36801630	0.00014080	0.00015731	0.00013414	0.00104644	0.00003647	
0.01000000	1.71387715	0.00036502	0.00017921	0.00037747	0.00127023	0.00012268	
